PK,SK,kanji_char,component_char,,,,
KANJI#75,COMPONENT#1,東,,,,,
KANJI#75,COMPONENT#43,東,,,,,
KANJI#75,COMPONENT#71,東,申,,,,
KANJI#77,COMPONENT#54,読,,,,,
KANJI#77,COMPONENT#86,読,売,,,,
KANJI#77,COMPONENT#87,読,士,,,,
KANJI#77,COMPONENT#17,読,,,,,
KANJI#78,COMPONENT#50,南,,,,,
KANJI#78,COMPONENT#26,南,,,,,
KANJI#78,COMPONENT#49,南,,,,,
KANJI#78,COMPONENT#45,南,,,,,
KANJI#79,COMPONENT#46,二,,,,,
KANJI#80,COMPONENT#24,日,,,,,
KANJI#80,COMPONENT#22,日,,,,,
KANJI#81,COMPONENT#42,入,,,,,
KANJI#82,COMPONENT#88,年,午,,,,
KANJI#82,COMPONENT#47,年,,,,,
KANJI#82,COMPONENT#48,年,,,,,
KANJI#84,COMPONENT#1,白,,,,,
KANJI#85,COMPONENT#42,八,,,,,
KANJI#86,COMPONENT#49,半,,,,,
KANJI#86,COMPONENT#11,半,,,,,
KANJI#86,COMPONENT#45,半,,,,,
KANJI#87,COMPONENT#89,百,白,,,,
KANJI#87,COMPONENT#22,百,,,,,
KANJI#88,COMPONENT#74,父,八,,,,
KANJI#88,COMPONENT#90,父,乂,,,,
KANJI#89,COMPONENT#74,分,八,,,,
KANJI#89,COMPONENT#91,分,刀,,,,
KANJI#90,COMPONENT#38,聞,,,,,
KANJI#90,COMPONENT#92,聞,耳,,,,
KANJI#91,COMPONENT#25,母,,,,,
KANJI#91,COMPONENT#93,母,𠃌,,,,
KANJI#92,COMPONENT#94,北,匕,,,,
KANJI#92,COMPONENT#67,北,,,,,
KANJI#93,COMPONENT#49,木,,,,,
KANJI#94,COMPONENT#43,本,,,,,
KANJI#94,COMPONENT#49,本,,,,,
KANJI#95,COMPONENT#95,毎,毋,,,,
KANJI#95,COMPONENT#48,毎,,,,,
KANJI#96,COMPONENT#22,万,,,,,
KANJI#96,COMPONENT#93,万,𠃌,,,,
KANJI#96,COMPONENT#42,万,,,,,
KANJI#97,COMPONENT#34,名,,,,,
KANJI#97,COMPONENT#24,名,,,,,
KANJI#99,COMPONENT#96,友,又,,,,
KANJI#99,COMPONENT#23,友,,,,,
KANJI#100,COMPONENT#97,来,未,,,,
KANJI#100,COMPONENT#43,来,,,,,
KANJI#100,COMPONENT#45,来,,,,,
KANJI#102,COMPONENT#74,六,八,,,,
KANJI#102,COMPONENT#59,六,,,,,
KANJI#103,COMPONENT#54,話,,,,,
KANJI#103,COMPONENT#98,話,舌,,,,
KANJI#103,COMPONENT#99,話,千,,,,
KANJI#103,COMPONENT#24,話,,,,,
KANJI#3,COMPONENT#1,書,,,,,
KANJI#3,COMPONENT#11,書,,,,,
KANJI#3,COMPONENT#102,書,肀,,,,
