PK,SK,kanji_char,component_char,,,
COMPONENT#亠,KANJI#高,高,亠,,,
COMPONENT#口,KANJI#高,高,口,,,
COMPONENT#冂,KANJI#高,高,冂,,,
COMPONENT#𠆢,KANJI#食,食,𠆢,,,
COMPONENT#良,KANJI#食,食,良,,,
COMPONENT#艮,KANJI#食,食,艮,,,
COMPONENT#雨,KANJI#電,電,雨,,,
COMPONENT#日,KANJI#電,電,日,,,
COMPONENT#乚,KANJI#電,電,乚,,,
COMPONENT#冂,KANJI#電,電,冂,,,
COMPONENT#丶,KANJI#雨,雨,丶,,,
COMPONENT#冂,KANJI#雨,雨,冂,,,
COMPONENT#┬,KANJI#雨,雨,┬,,,
COMPONENT#門,KANJI#間,間,門,,,
COMPONENT#日,KANJI#間,間,日,,,
COMPONENT#𠆢,KANJI#金,金,𠆢,,,
COMPONENT#土,KANJI#金,金,土,,,
COMPONENT#丷,KANJI#金,金,丷,,,
COMPONENT#申,KANJI#車,車,申,,,
COMPONENT#日,KANJI#車,車,日,,,
COMPONENT#二,KANJI#車,車,二,,,
COMPONENT#丨,KANJI#車,車,丨,,,
COMPONENT#言,KANJI#読,読,言,,,
COMPONENT#売,KANJI#読,読,売,,,
COMPONENT#士,KANJI#読,読,士,,,
COMPONENT#儿,KANJI#読,読,儿,,,
COMPONENT#言,KANJI#語,語,言,,,
COMPONENT#吾,KANJI#語,語,吾,,,
COMPONENT#五,KANJI#語,語,五,,,
COMPONENT#口,KANJI#語,語,口,,,
COMPONENT#言,KANJI#話,話,言,,,
COMPONENT#舌,KANJI#話,話,舌,,,
COMPONENT#千,KANJI#話,話,千,,,
COMPONENT#口,KANJI#話,話,口,,,
COMPONENT#目,KANJI#見,見,目,,,
COMPONENT#儿,KANJI#見,見,儿,,,
COMPONENT#口,KANJI#西,西,口,,,
COMPONENT#儿,KANJI#西,西,儿,,,
COMPONENT#一,KANJI#西,西,一,,,
COMPONENT#彳,KANJI#行,行,彳,,,
COMPONENT#亍,KANJI#行,行,亍,,,
COMPONENT#丁,KANJI#行,行,丁,,,
COMPONENT#門,KANJI#聞,聞,門,,,
COMPONENT#耳,KANJI#聞,聞,耳,,,
COMPONENT#白,KANJI#百,百,白,,,
COMPONENT#一,KANJI#百,百,一,,,
COMPONENT#日,KANJI#白,白,日,,,
COMPONENT#田,KANJI#男,男,田,,,
COMPONENT#力,KANJI#男,男,力,,,
COMPONENT#𠂉,KANJI#生,生,𠂉,,,
COMPONENT#土,KANJI#生,生,土,,,
COMPONENT#牛,KANJI#生,生,牛,,,
