kanji,component1,component2,component3, component4,component5
身,自,,,,
路,足,各,夂,,
越,走,戊,土,,
賛,夫,貝,八,㚘,
資,次,貝,八,冫,
費,弗,貝,八,,
責,龶,貝,八,,
貧,分,貝,八,刀,
財,貝,八,才,,
負,ク,貝,八,,
議,言,義,我,⺷,
警,敬,言,句,攵,勹
識,言,音,戈,,
論,言,侖,人,,
談,言,火,炎,,
調,言,周,⺆,𠮷,
説,言,兑,兄,儿,
誤,言,呉,口,六,
認,言,忍,刃,心,
許,言,午,,,
訪,言,方,,,
記,言,己,,,
解,角,刀,牛,ク,
観,隹,見,儿,目,
覚,⺍冖,見,儿,目,
規,夫,見,儿,目,
要,覀,女,,,
表,表,衣,龶,,
術,行,朮,彳,亍,
薬,艹,楽,白,木,
葉,艹,世,木,,
落,艹,氵,夂,各,口
草,艹,早,日,十,
苦,艹,古,口,,
若,艹,右,口,,
良,艮,,,,
船,舟,㕣,,,
舞,夕,舛,㐄,,
腹,月,复,夂,,
能,能,月,ム,ヒ,
背,北,月,,,
育,月,亠ム,,,
職,耳,音,戈,,
耳,耳,,,,
老,土,耂,ヒ,,
美,⺷,大,王,,
置,罒,直,目,十,
罪,罒,非,,,
緒,糸,幺,者,耂,
続,糸,幺,売,士,
絶,糸,幺,色,,
絵,糸,幺,会,,
給,糸,幺,合,,
経,糸,幺,圣,又,土
組,糸,幺,且,,
約,糸,幺,勺,勹,
精,米,青,龶,月,
米,米,木,,,
箱,竹,相,木,目,
等,竹,寺,,,
笑,竹,夭,,,
窓,宀,儿,心,公,
突,宀,儿,大,,
積,禾,龶,貝,目,
種,禾,重,申,土,
程,禾,口,王,,
科,禾,斗,,,
福,礻,畐,田,,
神,礻,申,,,
祖,礻,且,,,
礼,礻,乚,,,
示,八,丁,,,
確,石,隹,隺,,
破,石,皮,反,,
石,丆,口,,,
眠,目,民,,,
相,木,目,,,
直,目,,,,
盗,次,皿,人,冫,
皆,比,白,ヒ,,
登,癶,豆,,,
痛,疒,甬,用,マ,
疲,疒,皮,反,又,
疑,疑,矢,疋,ヒ,
番,禾,由,田,,
留,留,刀,田,,
申,田,由,甲,,
由,田,,,,
産,立,厂,生,,
球,王,求,,,
現,王,見,目,儿,
王,王,,,,
猫,犭,苗,田,艹,
状,丬,犬,大,,
犯,犭,㔾,,,
熱,坴,圥,土,丸,灬
煙,火,覀,土,垔,
然,夕,犬,灬,,
点,占,灬,口,,
演,氵,寅,由,八,
満,氵,龷,両,山,
港,氵,龷,己,,
渡,氵,度,廿,又,
済,氵,斉,文,丿丨,
深,氵,木,儿,,
消,氵,肖,,,
浮,氵,⺤,子,,
流,氵,㐬,亠ム ,川,
活,氵,舌,千,口,
洗,氵,先,土,儿,
泳,氵,永,水,,
法,氵,去,土,ム,
治,氵,台,ム,口,
決,氵,夬,,,
求,,,,,
民,,,,,
殺,杀,殳,几,又,
段,殳,几,又,,
残,歹,㦮,戈,,
歳,止,戊,示,,
歯,止,凵,米,,
欲,谷,欠,,,
次,冫,欠,,,
欠,人,,,,
機,木,幾,戈,幺,
横,木,龷,由,黄,
権,隹,木,,,
様,木,羕,⺷,丨,
構,木,冓,井,再,
格,木,各,夂,口,
果,甲,木,,,
杯,木,不,,,
束,中,,,,
末,木,士,,,
未,木,土,,,
期,其,月,,,
望,亡,月,王,,
最,日,耳,又,取,
更,申,,,,
曲,囗,井,,,
暮,艹,日,莫,,
暗,日,音,立,,
晴,日,龶,月,,
景,日,京,小,口,
晩,日,免,儿,ク,
昨,日,乍,,,
昔,龷,日,,,
易,日,勿,勹,,
断,米,斤,,,
数,娄,攵,米,女,
散,龷,攵,月,,
敗,貝,攵,目,,
政,正,攵,,,
放,方,攵,,,
支,十,又,,,
探,扌,罙,木,儿,
掛,扌,圭,ト,卦,挂
捕,扌,甫,,,
指,扌,ヒ,日,旨,
招,扌,召,刀,口,
押,扌,甲,,,
抱,扌,包,己,勹,
抜,扌,友,又,,
折,扌,斤,,,
投,扌,殳,几,又,
払,扌,ム,,,
打,扌,丁,,,
才,,,,,
所,戸,斤,,,
戻,戸,大,,,
戦,単,戈,甲,,
成,戊,戈,,,
慣,忄,毌,貝,目,
感,或,戊,心,,
愛,⺤,⺍冖,心,夂,
想,相,心,木,目,
情,忄,青,龶,月,
悲,非,心,,,
息,自,心,,,
恥,耳,心,,,
恐,巩,工,凡,心,
性,忄,生,,,
怖,忄,布,巾,,
怒,奴,心,女,又,
念,今,心,フ,,
忙,忄,亡,,,
忘,亡,心,,,
必,心,,,,
御,彳,止,卩,卸,
得,彳,旦,寸,,
徒,彳,走,土,龰,
彼,彳,皮,反,又,
役,彳,殳,几,又,
形,开,彡,,,
当,ヨ,⺌,,,
引,弓,,,,
式,弋,工,,,
庭,广,廴,壬,,
座,广,人,土,,
幾,幺,戈,人,,
幸,土,丷,,,
平,十,一,丷,,
常,龸,吊,巾,,
席,广,廿,巾,,
師,㠯,帀,巾,,
市,亠,帀,巾,,
差,⺷,工,王,丆,
居,尸,古,,,
局,尸,口,,,
対,文,寸,,,
察,宀,祭,小,又,示
寝,宀,丬,ヨ冖又,,
寒,宀,龷,⺀,,
富,宀,田,畐,,
寄,宀,大,奇,可,
宿,宀,イ,百,,
容,宀,谷,口,人,穴
害,宀,龶,口,,
客,宀,各,夂,,
実,宀,三人,,,
定,宀,龰,,,
官,宀,官,㠯,,
完,宀,元,兀,,
守,宀,寸,,,
宅,宀,乇,乚,,
存,子,了,,,
婦,女,ヨ,巾,帚,
婚,女,氏,日,昏,
娘,女,良,,,
妻,女,,,,
好,女,子,了,,
失,人,矢,,,
夫,人,大,,,
太,大,,,,
夢,艹,罒,冖,夕,
変,亦,夂,,,
声,士,,,,
増,曽,田,日小,,
報,幸,㞋,卩,又,
在,土,,,,
園,袁,囗,𠮷,土,
困,木,囗,,,
因,大,囗,,,
回,口,囗,,,
喜,吉,豆,口,士,
商,立,冂儿,冋,,
和,禾,口,,,
命,叩,卩,口,,
呼,口,乎,,,
告,口,⺧,,,
吹,口,欠,,,
吸,口,及,,,
否,口,不,,,
君,尹,口,,,
向,冂,冋,口,,
合,口,人,一,,
号,丂,口,,,
可,口,,,,
受,⺤,又,,,
取,耳,又,,,
収,丩,又,,,
反,厂,又,,,
参,ム,大,彡,,
原,厂,白,日小,,
危,ク,厃,㔾,厂,
単,甲,⺍,十,甲,
化,イ,ヒ,,,
勤,堇,力,,,
勝,月,龹,力,,
務,マ,矛,力,攵,予
労,⺍冖,力,,,
努,奴,力,女,又,
助,且,力,,,
加,力,口,,,
割,害,刂,,,
刻,亥,刂,,,
制,巾,刂,牛,,
到,禾,刂,,,
利,禾,刂,,,
判,半,刂,,,
初,衤,刀,,,
列,列,歹,刂,,
処,夂,几,,,
冷,令,冫,マ,人,
内,冂,人,,,
具,貝,一,目,八,
共,共,龷,八,,
全,人,王,,,
光,⺌,儿,,,
優,イ,㥑,夂,心,
働,イ,動,重,力,
備,イ,龷,用,丆,
偶,イ,禺,甲,,
側,イ,則,貝,刂,
偉,イ,韋,㐄,,
値,イ,直,目,,
候,イ,ユ,矢,,
倒,イ,一ム ,土,至,
信,イ,言,,,
