PK,SK,character,name,en,vi,
COMPONENT,199,冖,,,,
COMPONENT,200,冗,,,,
COMPONENT,201,冘,,,,
COMPONENT,202,冫,,,,
COMPONENT,203,冬,,,,
COMPONENT,204,准,,,,
COMPONENT,205,几,,,,
COMPONENT,206,凡,,,,
COMPONENT,207,処,,,,
COMPONENT,208,凵,,,,
COMPONENT,209,凶,,,,
COMPONENT,210,出,,,,
COMPONENT,211,刀,,,,
COMPONENT,212,刂,,,,
COMPONENT,213,刃,,,,
COMPONENT,214,分,,,,
COMPONENT,215,切,,,,
COMPONENT,216,刑,,,,
COMPONENT,217,列,,,,
COMPONENT,218,利,,,,
COMPONENT,219,制,,,,
COMPONENT,220,則,,,,
COMPONENT,221,力,,,,
COMPONENT,222,加,,,,
COMPONENT,223,务,,,,
COMPONENT,224,劦,,,,
COMPONENT,225,勇,,,,
COMPONENT,226,動,,,,
COMPONENT,227,務,,,,
COMPONENT,228,勹,,,,
COMPONENT,229,勺,,,,
COMPONENT,230,勿,,,,
COMPONENT,231,匀,,,,
COMPONENT,232,匂,,,,
COMPONENT,233,包,,,,
COMPONENT,234,匈,,,,
COMPONENT,235,匊,,,,
COMPONENT,236,匋,,,,
COMPONENT,237,匕,,,,
COMPONENT,238,化,,,,
COMPONENT,239,北,,,,
COMPONENT,240,匚,,,,
COMPONENT,241,区,,,,
COMPONENT,242,十,,,,
COMPONENT,243,十艹,,,,
COMPONENT,244,卂,,,,
COMPONENT,245,千,,,,
COMPONENT,246,卄,,,,
COMPONENT,247,卆,,,,
COMPONENT,248,升,,,,
COMPONENT,249,午,,,,
COMPONENT,250,卉,,,,
COMPONENT,251,半,,,,
COMPONENT,252,卑,,,,
COMPONENT,253,卒,,,,
COMPONENT,254,卓,,,,
COMPONENT,255,南,,,,
COMPONENT,256,単,,,,
COMPONENT,257,卜,,,,
COMPONENT,258,占,,,,
COMPONENT,259,卦,,,,
COMPONENT,260,卩,,,,
COMPONENT,261,卬,,,,
COMPONENT,262,卯,,,,
COMPONENT,263,即,,,,
COMPONENT,264,却,,,,
COMPONENT,265,卸,,,,
COMPONENT,266,厂,,,,
COMPONENT,267,厃,,,,
COMPONENT,268,厓,,,,
COMPONENT,269,原,,,,
COMPONENT,270,厳,,,,
COMPONENT,271,厶,,,,
COMPONENT,272,厷,,,,
COMPONENT,273,去,,,,
COMPONENT,274,参,,,,
COMPONENT,275,又,,,,
COMPONENT,276,及,,,,
COMPONENT,277,友,,,,
COMPONENT,278,双,,,,
COMPONENT,279,反,,,,
COMPONENT,280,叒,,,,
COMPONENT,281,叔,,,,
COMPONENT,282,取,,,,
COMPONENT,283,受,,,,
COMPONENT,284,叚,,,,
COMPONENT,285,口,,,,
COMPONENT,286,口口,,,,
COMPONENT,287,古,,,,
COMPONENT,288,句,,,,
COMPONENT,289,叧,,,,
COMPONENT,290,叩,,,,
COMPONENT,291,召,,,,
COMPONENT,292,可,,,,
COMPONENT,293,台,,,,
COMPONENT,294,史,,,,
COMPONENT,295,右,,,,
COMPONENT,296,司,,,,
COMPONENT,297,叹,,,,
COMPONENT,298,各,,,,
COMPONENT,299,合,,,,
COMPONENT,300,吉,,,,
COMPONENT,301,吊,,,,
COMPONENT,302,同,,,,
COMPONENT,303,名,,,,
COMPONENT,304,君,,,,
COMPONENT,305,吾,,,,
COMPONENT,306,呂,,,,
COMPONENT,307,呆,,,,
COMPONENT,308,呉,,,,
COMPONENT,309,告,,,,
COMPONENT,310,呑,,,,
COMPONENT,311,周,,,,
COMPONENT,312,咅,,,,
COMPONENT,313,咼,,,,
COMPONENT,314,品,,,,
COMPONENT,315,員,,,,
COMPONENT,316,唐,,,,
COMPONENT,317,啇,,,,
COMPONENT,318,善,,,,
COMPONENT,319,喜,,,,
COMPONENT,320,喬,,,,
COMPONENT,321,喿,,,,
COMPONENT,322,囗,,,,
COMPONENT,323,回,,,,
COMPONENT,324,因,,,,
COMPONENT,325,囷,,,,
COMPONENT,326,固,,,,
COMPONENT,327,土,,,,
COMPONENT,328,圣,,,,
COMPONENT,329,圥,,,,
COMPONENT,330,圭,,,,
COMPONENT,331,坒,,,,
COMPONENT,332,坴,,,,
COMPONENT,333,垂,,,,
COMPONENT,334,垔,,,,
COMPONENT,335,執,,,,
COMPONENT,336,堇,,,,
COMPONENT,337,士,,,,
COMPONENT,338,壬,,,,
COMPONENT,339,壮,,,,
COMPONENT,340,声,,,,
COMPONENT,341,売,,,,
COMPONENT,342,壳,,,,
COMPONENT,343,夂,,,,
COMPONENT,344,夅,,,,
COMPONENT,345,夆,,,,
COMPONENT,346,夋,,,,
COMPONENT,347,夌,,,,
COMPONENT,348,复,,,,
COMPONENT,349,夕,,,,
COMPONENT,350,夗,,,,
COMPONENT,351,多,,,,
COMPONENT,352,大,,,,
COMPONENT,353,天,,,,
COMPONENT,354,太,,,,
COMPONENT,355,夫,,,,
COMPONENT,356,夬,,,,
COMPONENT,357,夭,,,,
COMPONENT,358,央,,,,
COMPONENT,359,失,,,,
COMPONENT,360,夸,,,,
COMPONENT,361,夹,,,,
COMPONENT,362,奇,,,,
COMPONENT,363,奈,,,,
COMPONENT,364,奉,,,,
COMPONENT,365,奐,,,,
COMPONENT,366,契,,,,
COMPONENT,367,女,,,,
COMPONENT,368,奴,,,,
COMPONENT,369,如,,,,
COMPONENT,370,妾,,,,
COMPONENT,371,委,,,,
COMPONENT,372,娄,,,,
COMPONENT,373,子,,,,
COMPONENT,374,孚,,,,
COMPONENT,375,孝,,,,
COMPONENT,376,孟,,,,
COMPONENT,377,孰,,,,
COMPONENT,378,宀,,,,
COMPONENT,379,宁,,,,
COMPONENT,380,它,,,,
COMPONENT,381,守,,,,
COMPONENT,382,安,,,,
COMPONENT,383,完,,,,
COMPONENT,384,宗,,,,
COMPONENT,385,官,,,,
COMPONENT,386,定,,,,
COMPONENT,387,宜,,,,
COMPONENT,388,客,,,,
COMPONENT,389,害,,,,
COMPONENT,390,家,,,,
COMPONENT,391,容,,,,
COMPONENT,392,宿,,,,
COMPONENT,393,寅,,,,
COMPONENT,394,寍,,,,
COMPONENT,395,察,,,,
COMPONENT,396,寸,,,,
COMPONENT,397,寺,,,,
COMPONENT,398,寽,,,,
COMPONENT,399,寿,,,,
COMPONENT,400,専,,,,
COMPONENT,401,尃,,,,
COMPONENT,402,射,,,,
COMPONENT,403,将,,,,
COMPONENT,404,尉,,,,
COMPONENT,405,尊,,,,
COMPONENT,406,尌,,,,
COMPONENT,407,小,,,,
COMPONENT,408,少,,,,
COMPONENT,409,尓,,,,
COMPONENT,410,尗,,,,
COMPONENT,411,尞,,,,
COMPONENT,412,尤,,,,
COMPONENT,413,尭,,,,
COMPONENT,414,尸,,,,
COMPONENT,415,尹,,,,
COMPONENT,416,尺,,,,
COMPONENT,417,尼,,,,
COMPONENT,418,居,,,,
COMPONENT,419,屈,,,,
COMPONENT,420,屋,,,,
COMPONENT,421,屏,,,,
COMPONENT,422,属,,,,
COMPONENT,423,屮,,,,
COMPONENT,424,屯,,,,
COMPONENT,425,屰,,,,
COMPONENT,426,山,,,,
COMPONENT,427,岡,,,,
COMPONENT,428,崔,,,,
COMPONENT,429,巛,,,,
COMPONENT,430,川,,,,
COMPONENT,431,州,,,,
COMPONENT,432,巟,,,,
COMPONENT,433,巠,,,,
COMPONENT,434,工,,,,
COMPONENT,435,左,,,,
COMPONENT,436,巨,,,,
COMPONENT,437,巩,,,,
COMPONENT,438,差,,,,
COMPONENT,439,己,,,,
COMPONENT,440,巳,,,,
COMPONENT,441,巴,,,,
COMPONENT,442,巸,,,,
COMPONENT,443,巻,,,,
COMPONENT,444,巽,,,,
COMPONENT,445,巾,,,,
COMPONENT,446,帀,,,,
COMPONENT,447,市,,,,
COMPONENT,448,布,,,,
COMPONENT,449,希,,,,
COMPONENT,450,帚,,,,
COMPONENT,451,帛,,,,
COMPONENT,452,帝,,,,
COMPONENT,453,帯,,,,
COMPONENT,454,干,,,,
COMPONENT,455,平,,,,
COMPONENT,456,幵,,,,
COMPONENT,457,幷,,,,
COMPONENT,458,幸,,,,
COMPONENT,459,幺,,,,
COMPONENT,460,幾,,,,
COMPONENT,461,广,,,,
COMPONENT,462,広,,,,
COMPONENT,463,府,,,,
COMPONENT,464,度,,,,
COMPONENT,465,庶,,,,
COMPONENT,466,廌,,,,
COMPONENT,467,廴,,,,
COMPONENT,468,延,,,,
COMPONENT,469,廷,,,,
COMPONENT,470,建,,,,
COMPONENT,471,廾,,,,
COMPONENT,472,廿,,,,
COMPONENT,473,开,,,,
COMPONENT,474,弋,,,,
COMPONENT,475,式,,,,
COMPONENT,476,弓,,,,
COMPONENT,477,弔,,,,
COMPONENT,478,弗,,,,
COMPONENT,479,弟,,,,
COMPONENT,480,彐,,,,
COMPONENT,481,彑,,,,
COMPONENT,482,录,,,,
COMPONENT,483,彗,,,,
