PK,SK,character,name,en,vi,EntityType
COMPONENT,785,荅,,,,Component
COMPONENT,786,莫,,,,Component
COMPONENT,787,菐,,,,Component
COMPONENT,788,華,,,,Component
COMPONENT,789,董,,,,Component
COMPONENT,790,蒦,,,,Component
COMPONENT,791,蔵,,,,Component
COMPONENT,792,虍,,,,Component
COMPONENT,793,虎,,,,Component
COMPONENT,794,虚,,,,Component
COMPONENT,795,虫,,,,Component
COMPONENT,796,蜀,,,,Component
COMPONENT,797,血,,,,Component
COMPONENT,798,行,,,,Component
COMPONENT,799,衣,,,,Component
COMPONENT,800,衤,,,,Component
COMPONENT,801,表,,,,Component
COMPONENT,802,袁,,,,Component
COMPONENT,803,褱,,,,Component
COMPONENT,804,西,,,,Component
COMPONENT,805,覀,,,,Component
COMPONENT,806,要,,,,Component
COMPONENT,807,見,,,,Component
COMPONENT,808,規,,,,Component
COMPONENT,809,角,,,,Component
COMPONENT,810,言,,,,Component
COMPONENT,811,誊,,,,Component
COMPONENT,812,谷,,,,Component
COMPONENT,813,豆,,,,Component
COMPONENT,814,豈,,,,Component
COMPONENT,815,豊,,,,Component
COMPONENT,816,豕,,,,Component
COMPONENT,817,豙,,,,Component
COMPONENT,818,象,,,,Component
COMPONENT,819,豦,,,,Component
COMPONENT,820,豸,,,,Component
COMPONENT,821,貇,,,,Component
COMPONENT,822,貝,,,,Component
COMPONENT,823,貞,,,,Component
COMPONENT,824,責,,,,Component
COMPONENT,825,貴,,,,Component
COMPONENT,826,賁,,,,Component
COMPONENT,827,賞,,,,Component
COMPONENT,828,赤,,,,Component
COMPONENT,829,走,,,,Component
COMPONENT,830,足,,,,Component
COMPONENT,831,路,,,,Component
COMPONENT,832,身,,,,Component
COMPONENT,833,躬,,,,Component
COMPONENT,834,車,,,,Component
COMPONENT,835,軍,,,,Component
COMPONENT,836,辛,,,,Component
COMPONENT,837,辟,,,,Component
COMPONENT,838,辰,,,,Component
COMPONENT,839,農,,,,Component
COMPONENT,840,迶,,,,Component
COMPONENT,841,連,,,,Component
COMPONENT,842,道,,,,Component
COMPONENT,843,郎,,,,Component
COMPONENT,844,郷,,,,Component
COMPONENT,845,酉,,,,Component
COMPONENT,846,釆,,,,Component
COMPONENT,847,采,,,,Component
COMPONENT,848,里,,,,Component
COMPONENT,849,重,,,,Component
COMPONENT,850,量,,,,Component
COMPONENT,851,金,,,,Component
COMPONENT,852,長,,,,Component
COMPONENT,853,門,,,,Component
COMPONENT,854,閏,,,,Component
COMPONENT,855,間,,,,Component
COMPONENT,856,阝,,,,Component
COMPONENT,857,隊,,,,Component
COMPONENT,858,隶,,,,Component
COMPONENT,859,隹,,,,Component
COMPONENT,860,隺,,,,Component
COMPONENT,861,隻,,,,Component
COMPONENT,862,隽,,,,Component
COMPONENT,863,雇,,,,Component
COMPONENT,864,雍,,,,Component
COMPONENT,865,雨,,,,Component
COMPONENT,866,雲,,,,Component
COMPONENT,867,零,,,,Component
COMPONENT,868,需,,,,Component
COMPONENT,869,青,,,,Component
COMPONENT,870,非,,,,Component
COMPONENT,871,革,,,,Component
COMPONENT,872,韋,,,,Component
COMPONENT,873,韱,,,,Component
COMPONENT,874,音,,,,Component
COMPONENT,875,頁,,,,Component
COMPONENT,876,頃,,,,Component
COMPONENT,877,頼,,,,Component
COMPONENT,878,風,,,,Component
COMPONENT,879,飞,,,,Component
COMPONENT,880,食,,,,Component
COMPONENT,881,飠,,,,Component
COMPONENT,882,首,,,,Component
COMPONENT,883,香,,,,Component
COMPONENT,884,馬,,,,Component
COMPONENT,885,駦,,,,Component
COMPONENT,886,骨,,,,Component
COMPONENT,887,高,,,,Component
COMPONENT,888,鬲,,,,Component
COMPONENT,889,鬼,,,,Component
COMPONENT,890,魚,,,,Component
COMPONENT,891,鳥,,,,Component
COMPONENT,892,鹿,,,,Component
COMPONENT,893,麻,,,,Component
COMPONENT,894,黄,,,,Component
COMPONENT,895,黒,,,,Component
COMPONENT,896,鼡,,,,Component
COMPONENT,897,龍,,,,Component
COMPONENT,898,龰,,,,Component
COMPONENT,899,龵,,,,Component
COMPONENT,900,龶,,,,Component
COMPONENT,901,龷,,,,Component
COMPONENT,902,龸,,,,Component
COMPONENT,903,龹,,,,Component
COMPONENT,904,龺,,,,Component
COMPONENT,905,辶,,,,Component
COMPONENT,906,｜,,,,Component
COMPONENT,907,𠂉,,,,Component
COMPONENT,908,𠃌,,,,Component
COMPONENT,909,𠆢,,,,Component
COMPONENT,910,𠬝,,,,Component
COMPONENT,911,𠮷,,,,Component
COMPONENT,912,𡗗,,,,Component
COMPONENT,913,𦰩,,,,Component
